Uvid,Manufacturer,Range,SubRange,Trim,Derivative,Series,RangeStartDate,RangeEndDate,BodyStyle,IsFacelift,Transmission,FuelType,Aspiration,EngineCapacity,PowerBhp,DriveType,GearCount,DoorCount,VehicleClass
A285,Audi,100,NULL,L5S,2.1,MK1,01/01/1977,01/01/1981,Saloon,0,Automatic,Petrol,Naturally Aspirated,2144,115,FWD,3,4,Car
A286,Audi,100,NULL,L5S,2.1,MK1,01/01/1977,01/01/1981,Saloon,0,Manual,Petrol,Naturally Aspirated,2144,115,FWD,5,4,Car
A308,Audi,100,NULL,GL5E,2.1,MK1,01/06/1977,01/01/1981,Saloon,0,Automatic,Petrol,Naturally Aspirated,2144,136,FWD,3,4,Car
A309,Audi,100,NULL,GL5E,2.1,MK1,01/06/1977,01/01/1981,Saloon,0,Manual,Petrol,Naturally Aspirated,2144,136,FWD,5,4,Car
A325,Audi,Avant,NULL,CD5E,2.1,NULL,01/09/1977,01/01/1980,Hatchback,0,Automatic,Petrol,Naturally Aspirated,2144,136,FWD,3,5,Car
A393,Audi,Avant,NULL,L,1.6,NULL,01/11/1977,01/01/1979,Hatchback,0,Automatic,Petrol,Naturally Aspirated,1588,75,FWD,3,5,Car
A394,Audi,Avant,NULL,L,1.6,NULL,01/11/1977,01/01/1981,Hatchback,0,Manual,Petrol,Naturally Aspirated,1588,75,FWD,4,5,Car
A405,Audi,100,NULL,CD5E,2.1,MK1,01/01/1978,01/01/1980,Saloon,0,Manual,Petrol,Naturally Aspirated,2144,115,FWD,5,4,Car
A404,Audi,100,NULL,CD5E,2.1,MK1,01/01/1978,01/01/1980,Saloon,0,Automatic,Petrol,Naturally Aspirated,2144,115,FWD,3,4,Car
A511,Audi,Avant,NULL,GL5S,2.1,NULL,01/09/1978,01/01/1980,Hatchback,0,Automatic,Petrol,Naturally Aspirated,2144,136,FWD,3,5,Car
A512,Audi,Avant,NULL,GL5S,2.1,NULL,01/09/1978,01/01/1980,Hatchback,0,Manual,Petrol,Naturally Aspirated,2144,136,FWD,5,5,Car
A611,Audi,80,NULL,GLS,1.6,MK2,01/03/1979,01/01/1981,Saloon,0,Automatic,Petrol,Naturally Aspirated,1588,85,FWD,3,4,Car
A613,Audi,80,NULL,GLS,1.6,MK2,01/03/1979,01/01/1981,Saloon,0,Manual,Petrol,Naturally Aspirated,1588,85,FWD,5,4,Car
A608,Audi,80,NULL,GLE,1.6,MK2,01/03/1979,01/01/1981,Saloon,0,Automatic,Petrol,Naturally Aspirated,1588,110,FWD,3,4,Car
A616,Audi,80,NULL,LS,1.6,MK2,01/03/1979,01/01/1981,Saloon,0,Manual,Petrol,Naturally Aspirated,1588,75,FWD,5,4,Car
A610,Audi,80,NULL,GLE,1.6,MK2,01/03/1979,01/01/1981,Saloon,0,Manual,Petrol,Naturally Aspirated,1588,110,FWD,5,4,Car
A612,Audi,80,NULL,GLS,1.6,MK2,01/03/1979,01/01/1981,Saloon,0,Manual,Petrol,Naturally Aspirated,1588,85,FWD,4,4,Car
A614,Audi,80,NULL,LS,1.6,MK2,01/03/1979,01/01/1981,Saloon,0,Automatic,Petrol,Naturally Aspirated,1588,75,FWD,3,4,Car
A615,Audi,80,NULL,LS,1.6,MK2,01/03/1979,01/01/1981,Saloon,0,Manual,Petrol,Naturally Aspirated,1588,75,FWD,4,4,Car
A609,Audi,80,NULL,GLE,1.6,MK2,01/03/1979,01/01/1981,Saloon,0,Manual,Petrol,Naturally Aspirated,1588,110,FWD,4,4,Car
A698,Audi,Avant,NULL,L,2.0D,NULL,01/09/1979,01/01/1980,Hatchback,0,Manual,Diesel,Naturally Aspirated,1986,60,FWD,5,5,Car
A1063,Audi,quattro,NULL,NULL,2.1,NULL,01/11/1980,01/01/1987,Coupe,0,Manual,Petrol,Turbocharged,2144,200,4X4,5,2,Car
A1253,Audi,Coupe,NULL,GT,1.9,MK1,01/08/1981,01/01/1983,Coupe,0,Automatic,Petrol,Naturally Aspirated,1921,114,FWD,3,3,Car
A1251,Audi,80,NULL,GL,1.6,MK2,01/08/1981,01/01/1983,Saloon,0,Automatic,Petrol,Naturally Aspirated,1588,85,FWD,3,4,Car
A1249,Audi,80,NULL,CL,1.6,MK2,01/08/1981,01/01/1983,Saloon,0,Manual,Petrol,Naturally Aspirated,1588,75,FWD,4,4,Car
A1252,Audi,80,NULL,GL,1.6,MK2,01/08/1981,01/01/1983,Saloon,0,Manual,Petrol,Naturally Aspirated,1588,85,FWD,5,4,Car
A1248,Audi,80,NULL,CL,1.6,MK2,01/08/1981,01/01/1983,Saloon,0,Automatic,Petrol,Naturally Aspirated,1588,75,FWD,3,4,Car
A1250,Audi,80,NULL,CL,1.6,MK2,01/08/1981,01/01/1983,Saloon,0,Manual,Petrol,Naturally Aspirated,1588,75,FWD,5,4,Car
A1254,Audi,Coupe,NULL,GT,1.9,MK1,01/08/1981,01/01/1983,Coupe,0,Manual,Petrol,Naturally Aspirated,1921,114,FWD,5,3,Car
A1306,Audi,100,NULL,GL,2.1,MK1,01/09/1981,01/01/1982,Saloon,0,Automatic,Petrol,Naturally Aspirated,2144,136,FWD,3,4,Car
A1308,Audi,80,NULL,CD,1.9,MK2,01/09/1981,01/01/1983,Saloon,0,Automatic,Petrol,Naturally Aspirated,1921,114,FWD,3,4,Car
A1309,Audi,80,NULL,CD,1.9,MK2,01/09/1981,01/01/1983,Saloon,0,Manual,Petrol,Naturally Aspirated,1921,114,FWD,5,4,Car
A1305,Audi,100,NULL,CL,2.1,MK1,01/09/1981,01/01/1982,Saloon,0,Manual,Petrol,Naturally Aspirated,2144,115,FWD,5,4,Car
A1304,Audi,100,NULL,CL,2.1,MK1,01/09/1981,01/01/1982,Saloon,0,Automatic,Petrol,Naturally Aspirated,2144,115,FWD,3,4,Car
A1307,Audi,100,NULL,GL,2.1,MK1,01/09/1981,01/01/1982,Saloon,0,Manual,Petrol,Naturally Aspirated,2144,136,FWD,5,4,Car
A1391,Audi,Avant,NULL,GL,2.0D,NULL,01/12/1981,01/01/1982,Hatchback,0,Manual,Diesel,Naturally Aspirated,1986,60,FWD,5,5,Car
A1416,Audi,100,NULL,CS Ltd Edn,2.1,MK2,01/01/1982,01/01/1982,Saloon,0,Automatic,Petrol,Naturally Aspirated,2144,136,FWD,3,4,Car
A1417,Audi,100,NULL,CS Ltd Edn,2.1,MK2,01/01/1982,01/01/1982,Saloon,0,Manual,Petrol,Naturally Aspirated,2144,136,FWD,5,4,Car
A1644,Audi,Coupe,NULL,GT Fi,2.1,MK1,01/07/1982,01/01/1984,Coupe,0,Manual,Petrol,Naturally Aspirated,2144,136,FWD,5,3,Car
A1643,Audi,Coupe,NULL,GT Fi,2,MK1,01/07/1982,01/01/1984,Coupe,0,Manual,Petrol,Naturally Aspirated,1994,130,FWD,5,3,Car
A1891,Audi,100,NULL,CD,2.1,MK2,01/11/1982,01/01/1983,Saloon,0,Automatic,Petrol,Naturally Aspirated,2144,115,FWD,3,4,Car
A1892,Audi,100,NULL,CD,2.1,MK2,01/11/1982,01/01/1983,Saloon,0,Manual,Petrol,Naturally Aspirated,2144,115,FWD,5,4,Car
A1894,Audi,100,NULL,CS,2.1,MK2,01/11/1982,01/01/1983,Saloon,0,Manual,Petrol,Naturally Aspirated,2144,100,FWD,5,4,Car
A1893,Audi,100,NULL,CS,2.1,MK2,01/11/1982,01/01/1983,Saloon,0,Automatic,Petrol,Naturally Aspirated,2144,100,FWD,3,4,Car
A1952,Audi,100,NULL,CC,1.9,MK2,01/01/1983,01/01/1983,Saloon,0,Manual,Petrol,Naturally Aspirated,1921,114,FWD,5,4,Car
A1951,Audi,100,NULL,CC,1.9,MK2,01/01/1983,01/01/1983,Saloon,0,Automatic,Petrol,Naturally Aspirated,1921,114,FWD,3,4,Car
